WKT,kenyaopendata:Boys Toilets,kenyaopendata:Costituency,kenyaopendata:District,kenyaopendata:Division,kenyaopendata:GOK TSC Female,kenyaopendata:GOK TSC Male,kenyaopendata:Girls Toilets,kenyaopendata:Level of Education,kenyaopendata:Local Authority Female,kenyaopendata:Local Authority Male,kenyaopendata:Location,kenyaopendata:Non-Teaching Staff Female,kenyaopendata:Non-Teaching Staff Male,kenyaopendata:Others Female,kenyaopendata:Others Male,kenyaopendata:PTA BOG Female,kenyaopendata:PTA BOG Male,kenyaopendata:Province,kenyaopendata:Pupil Classroom Ratio,kenyaopendata:Pupil Teacher Ratio,kenyaopendata:Pupil Toilet Ratio,kenyaopendata:School Institution Type_1,kenyaopendata:School Institution Type_2,kenyaopendata:School Institution Type_3,kenyaopendata:Sponsor of School,kenyaopendata:Status of School,kenyaopendata:Teachers Toilets,kenyaopendata:Total Boys,kenyaopendata:Total Enrolment,kenyaopendata:Total Girls,kenyaopendata:Total Number of Classrooms,kenyaopendata:Total Toilets,kenyaopendata:official_name,osm:_timestamp,osm:_user,osm:accessibility,osm:amenity,osm:boundary_type:Ward_boundary,osm:building:levels,osm:building:material,osm:building:roof,osm:contact:address,osm:contact:phone,osm:education:curriculum,osm:education:exam_center,osm:education:extra_drama,osm:education:extra_music,osm:education:extra_scouts,osm:education:extra_sports,osm:education:fees,osm:education:gender_type,osm:education:government_registered,osm:education:management_committee,osm:education:program_counselling,osm:education:program_feeding,osm:education:program_sanitary_towel,osm:education:pta,osm:education:students,osm:education:teachers,osm:education:teachers_female,osm:education:teachers_male,osm:education:teachers_trained,osm:education:tsc_employed,osm:education:type,osm:electricity:operational_status,osm:id,osm:image:classroom,osm:image:compound,osm:image:other,osm:image:outside,osm:is_in:constituency,osm:is_in:estate,osm:is_in:ward,osm:location,osm:name,osm:official_name,osm:operational_status:electricity,osm:operator:name,osm:operator:type,osm:place:village,osm:toilet:present,osm:contact:email,osm:education:fees_level4,osm:education:fees_level5,osm:education:program_orphans,osm:education:student_age_range,osm:education:students_female,osm:education:students_male,osm:opening_hours,osm:education:boarding,osm:education:fees_level1,osm:education:fees_level2,osm:education:fees_level3,osm:education:program_counseling,osm:education:program_other,osm:education:program_special_needs,osm:education:program_sports,osm:education:staff_female,osm:education:staff_male,osm:media:video_device_number,osm:media:video_number,osm:operational_status,osm:education:fees_optional,osm:education:school_head,osm:image,osm:is_in:village,osm:operator:description,osm:education:description,osm:education:fees_sponsored,osm:source,osm:education:exam_affiliate,osm:education:teachers_untrained,kenyaopendata:Acreage,kenyaopendata:Acreage per enrolment,kenyaopendata:Code,kenyaopendata:Day or Boarding,kenyaopendata:Girls/Boys/Mixed,kenyaopendata:Local Authority Female Teachers,kenyaopendata:Local Authority Male Teachers,kenyaopendata:Non Teaching Staff Female,kenyaopendata:Non Teaching Staff Male,kenyaopendata:Ordinary or Special,kenyaopendata:Other Female Teachers,kenyaopendata:Other Male Teachers,kenyaopendata:PTA Board of Governors Female Teacher,kenyaopendata:PTA Board of Governors Male Teacher,kenyaopendata:Public or Private,kenyaopendata:School Address,kenyaopendata:School Sponsor,kenyaopendata:School Zone,kenyaopendata:Sublocation,kenyaopendata:TSC Female Teachers,kenyaopendata:TSC Male Teachers,kenyaopendata:Total Enrolment 2007,kenyaopendata:Total Teaching staff,osm:education:fees_level6,osm:media:camera_device_number,osm:media:camera_number,osm:education:program_scouting,osm:education:program_description,osm:education:extra_other,osm:education:student_female,osm:education:student_male,osm:education:program_computers,osm:description,osm:station:type_description,osm:education:teachers_tsc,osm:designation,osm:security:gbv_support,osm:toilet:arranged_name,osm:education:program_specialneeds,osm:boundary_type:Constituency_boundary,osm:registered_voters,osm:building,osm:fee,osm:education:committees,osm:health_facility:referals,osm:medical_service:psychosocial_support_counselling,osm:medical_staff:counsellor,osm:medical_staff:description,osm:note,osm:contact:website,osm:addr:postcode,osm:website,osm:education:accessibility,osm:education:management_commitee,osm:education:program_WASH,osm:education:program_handwashing,osm:education:program_rain,osm:education:student_disable,osm:safe_place:acessible,osm:safe_place:compound,osm:safe_place:protected/secure,osm:safe_place:school,osm:security:description,osm:social_facility
"MULTIPOINT ((36.776261 -1.3129362),(36.75456 -1.310409))",1,LANGATA,NAIROBI,KIBERA,0,0,1,PRIMARY SCHOOL,0,0,SERA NGOMBE,3,1,0,0,1,5,NAIROBI,37.8,31.5,94.5,MIXED,DAY ONLY,INTEGRATED,NGO/CBO,PRIVATE,0,80,189,109,5,0,SODA ACADEMY- PRI SCH,2015/01/03,JamesLC,foot,school,,Ground,ironsheets,ironsheets,"P O Box 8361 - 00100, Nairobi",0719111328/0707041972,8_4_4,yes,yes,yes,,yes,,mixed,mgcsd,yes,yes,sponsored,,yes,190,8,4,4,8,0,primary,always,node/3009031330,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/New%20Batch%20of%20Photos%20Jacob/Soda%20Class.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/New%20Batch%20of%20Photos%20Jacob/Soda%20Compound.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/New%20Batch%20of%20Photos%20Jacob/Soda%20other.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/New%20Batch%20of%20Photos%20Jacob/Soda%20outside.JPG,,,,kibera,Soda Academy,SODA ACADEMY- PRI SCH,,Fredric Magige,private,Olympic,yes,suophan@hotmail.com,4500,6300,,,125,65,,,,,,,,,,,,,,,,Fredrick Magige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7951381 -1.3157713),(36.794365 -1.313182))",4,LANGATA,NAIROBI,KIBERA,0,0,4,PRIMARY SCHOOL,0,0,KIBERA,4,0,0,0,3,7,NAIROBI,19.8,19.8,24.8,MIXED,DAY ONLY,ORDINARY,RELIGIOUS ORGANIZATION,PRIVATE,2,0,198,0,10,0,MOC PRI SCH,2015/01/03,JamesLC,foot,school,,0,ironsheets,ironsheets,"P O Box 791323 -00200, Nairobi",0721685459,8_4_4,yes,yes,yes,yes,yes,5400,mixed,mgcsd,,yes,fees,yes,yes,189,5,5,0,3,,primary,often,node/3029503500,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/MOC%20School/class%201.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/MOC%20School/compound.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/MOC%20School/sign%20post.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/MOC%20School/gate.JPG,,,,kibera,MOC Primary,MOC PRI SCH,,MOC Outreach Church,religious,Lindi,yes,,,,,,80,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7748694 -1.3086777))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017/03/15,omino,,school,,,cement_block,concreate,,,8_4_4,,no,yes,,yes,,mixed,,,yes,yes,,yes,,,,,,,pre_primary,always,node/3034459577,,,,,,,,kibera,Little Rock ECD,,,,private,Ayany,yes,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,Map Kibera Trust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,big_vehicles,yes,yes,yes,yes,92,,,,,,
"MULTIPOINT ((36.7776082 -1.3137408))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017/10/12,muindre,big_vehicles,school,,0,ironsheets,ironsheets,,0721622713,8_4_4,,,yes,,yes,"13,500",mixed,mgcsd,yes,,fees,,no,19,3,3,0,2,0,pre_primary,sometimes,node/3070142761,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Life%20springs%20BC%20Educational%20Center/Class.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Life%20springs%20BC%20Educational%20Center/Compound.JPG,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Life%20springs%20BC%20Educational%20Center/outside.JPG,,,,kibera,Golden Heart Academy,,,,private,Olympic,yes,,,,,,9,10,,yes,,,,,,,,,,,,,,Janet Vizenwa,,,Janet Vizengwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7801314 -1.3115355))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018/01/26,muindre,big_vehicles,school,,0,wood,ironsheets,"P O Box 21203-00505, Nairobi",0724029317,8_4_4,yes,yes,yes,yes,yes,18000,mixed,,yes,yes,fees,yes,yes,210,11,7,4,11,11,primary,always,node/3070186504,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Karama%20Academy/Class.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Karama%20Academy/Compound.JPG,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Karama%20Academy/outside.JPG,,,,kibera,Karama Academy,,,Springs of Life Lutheran Church,religious,Olympic,yes,peterseth26@gmail.com,,,,,95,115,,,,,,,,yes,,,,,,,,Peter Seth,,,Peter seth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Organized,functional",,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7799316 -1.3117278))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017/10/12,muindre,big_vehicles,school,,0,concrete,asbestos,"P O Box 21203-00505, Nairobi",0726702561,8_4_4,no,no,no,no,yes,12000,mixed,moe,yes,no,fees,,yes,101,3,3,0,3,0,pre_primary,always,node/3070186505,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Karama%20Academy/Pre%20School.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Karama%20Academy/Compound.JPG,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Angels%20of%20Hope%20Kibera/sign%20post.JPG,,,,kibera,Karama Academy,,,Springs of Life Lutheran Church,religious,Olympic,yes,peterseth26@gmail.com,,,,,46,55,,,,,,,,yes,,,,,,,,Peter Seth,,,Peter seth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Organized,functional",,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7864225 -1.311997))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016/07/27,muindre,foot,school,,0,mud,ironsheets,,0723503556,8_4_4,,,,,,5400,mixed,,yes,yes,fees,,yes,83,3,3,0,2,0,primary,always,node/3070202859,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Niami%20Educational%20Centre/Class.jpg,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Niami%20Educational%20Centre/Compound.jpg,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Niami%20Educational%20Centre/outside.jpg,,,,kibera,Niami Educational Centre,,,,private,Karanja,yes,,,,,,46,37,,,,,,,,,,,,,,,,Rose Norah,,,Rose Norah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7846499 -1.31238),(36.78378 -1.309825))",2,LANGATA,NAIROBI,KIBERA,0,0,2,PRIMARY SCHOOL,0,0,KIBERA,0,0,0,0,6,5,NAIROBI,17,17,46.8,MIXED,DAY ONLY,ORDINARY,COMMUNITY,PRIVATE,1,0,187,0,11,0,ST. JULIETS EDUCATION CENTRE PRI SCH.,2017/10/16,muindre,foot,school,,1,ironsheets,ironsheets,"P O Box 22875-00100, Nairobi",0725364783,8_4_4,yes,yes,yes,yes,yes,3600,mixed,mgcsd,yes,yes,sponsored,yes,yes,460,14,7,7,14,0,primary,always,node/3070240345,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/St%20Juliet%20Educational%20Centre/Class.jpg,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/St%20Juliet%20Educational%20Centre/Compound.jpg,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/St%20Juliet%20Educational%20Centre/outside.jpg,,,,kibera,St Juliet Education Centre,ST. JULIETS EDUCATION CENTRE PRI SCH.,,,cbo,Karanja,yes,stjuliet@yahoo.com,3600,3600,,,245,215,,,,,,,,yes,,,,,,,200,Jared Kataka,,,Jared Omusula,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,School is run by the Board,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7846727 -1.3124399))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017/10/16,muindre,foot,school,,1,ironsheets,ironsheets,"P O Box 22875-00100, Nairobi",0725364783,8_4_4,,yes,yes,yes,yes,3150,mixed,mgcsd,yes,yes,sponsored,yes,yes,78,2,2,0,2,0,pre_primary,always,node/3070240346,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/St%20Juliet%20Educational%20Centre/Compound.jpg,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/St%20Juliet%20Educational%20Centre/outside.jpg,,,,kibera,St Juliet Education Centre,,,,cbo,Karanja,yes,stjuliet@yahoo.com,,,,,36,42,,,3150,3150,3150,,,yes,,,,,,,,Jared Kataka,,,Jared Omusula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,School is run by the Board,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7795813 -1.3077907))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/01/03,JamesLC,big_vehicles,school,,1,cement_block,ironsheets,"P O Box 25796-00100, Nairobi",0202303472,8_4_4,,,,,yes,30000,mixed,moe,,,fees,,,92,6,5,1,6,0,pre_primary,always,node/3070274195,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Little%20prince%20primary%20School/others.jpg,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Little%20prince%20primary%20School/compound.jpg,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Little%20prince%20primary%20School/outside.jpg,,,,kibera,Little Prince Primary School,,,Arch Diosis of Nairobi,religious,Fort Jesus,yes,littleprinceschool@gmail.com,,,,,46,46,,,,,,,,,,,,,,,,Antony Maina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,school managed by Executive Comittee,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7770849 -1.3066293),(36.77617 -1.30409))",5,DAGORETTI,NAIROBI,DAGORETTI,0,0,6,PRIMARY SCHOOL,0,0,KENYATTA/GOLF COURSE,2,0,0,0,3,3,NAIROBI,15,15,8.2,MIXED,DAY ONLY,ORDINARY,RELIGIOUS ORGANIZATION,PRIVATE,2,53,90,37,6,,CHRISCO ED CENTER PRI,2017/10/12,muindre,big_vehicles,school,,1,cement_block,ironsheets,"P O Box 10258-00100, Nairobi",0724056520,8_4_4,yes,yes,yes,yes,yes,,mixed,mgcsd,yes,yes,fees,,yes,570,19,10,9,19,0,primary,often,node/3073056064,,,,,,,,kibera,Chrisco Educational Centre,CHRISCO ED CENTER PRI,,Chrisco Church,religious,Fort Jesus,yes,chriscoeducationalcentre@yahoo.com,"16,200",18000,,,270,300,,,,,,,,,,,,,,,,M Kutswa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7831348 -1.3147083),(36.783829 -1.312401))",,LANGATA,KIBERA,,,,,,,,SERA NGOMBE,,,,,,,NAIROBI,,9.1,,,,,,,,,,,,,BARAKA ZA IBRAHIM CENTER SEC SCH,2014/09/21,mikelmaron,big_vehicles,school,,,ironsheets,ironsheets,P.O BOx 6340-00100,0733775974,,,yes,yes,,yes,,mixed,moe,no,,,,no,70,7,4,3,,,secondary,sometimes,node/3073173658,,,,,,,,kibera,Baraka Za Ibrahim Secondary School,BARAKA ZA IBRAHIM CENTER SEC SCH,,,private,Gatwekera,yes,bzicc@yahoo.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,29.2,R1010416,DAY & BOARDING,MIXED,0,0,6,5,INTEGRATED,2,6,0,0,PRIVATE,6340-00100 NRB,COMMUNITY,KAREN,GATWIKIRA,0,0,73,8,,,,,,School band,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7758442 -1.3146055))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014/09/12,fondolucy,foot,school,,0,cement_block,ironsheets,,,8_4_4,,,,,,,mixed,,,,fees,,,,,,,,,pre_primary,always,node/3073260240,,,,,,,,kibera,Fairview Eduacational Centre,,,,private,Soweto West,yes,,,,,,,,,,,,,,,,,,,,,,,,,,Information given was not complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7758816 -1.3147923))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014/09/12,fondolucy,foot,school,,0,cement_block,ironsheets,,,8_4_4,yes,,yes,,yes,,mixed,,yes,,fees,,yes,,,,,,,primary,always,node/3073260241,,,,,,,,kibera,Fairview Eduacational Centre,,,,private,Soweto West,yes,,,,,,,,,no,,,,,,,,,,,,,,,,,information given was not complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7771221 -1.3066721),(36.77617 -1.30409))",5,DAGORETTI,NAIROBI,DAGORETTI,0,0,6,PRIMARY SCHOOL,0,0,KENYATTA/GOLF COURSE,2,0,0,0,3,3,NAIROBI,15,15,8.2,MIXED,DAY ONLY,ORDINARY,RELIGIOUS ORGANIZATION,PRIVATE,2,53,90,37,6,,CHRISCO ED CENTER PRI,2017/09/25,muindre,big_vehicles,school,,1,ironsheets,ironsheets,"P O Box 10258-00100, Nairobi",0724056520,8_4_4,,,yes,,yes,13500,mixed,mgcsd,yes,yes,fees,,yes,250,5,5,0,5,0,pre_primary,sometimes,node/3082332223,,,,,,,,kibera,Chrisco Educational Centre,CHRISCO ED CENTER PRI,,Chrisco Church,religious,Fort Jesus,yes,chriscoeducationalcentre@yahoo.com,,,,,100,150,,,13500,13500,13500,,,,,,,,,,,M Kutswa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7720802 -1.3075738))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017/10/12,muindre,big_vehicles,school,,0,ironsheets,ironsheets,"P O Box 10500-00200, Nairobi",0724128108,8_4_4,,,yes,,yes,9000,mixed,mgcsd,,yes,fees,,,25,2,2,0,2,0,pre_primary,always,node/3082332224,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Great%20%20Star%20Academy/Class.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Great%20%20Star%20Academy/Compound.JPG,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Great%20%20Star%20Academy/outside.JPG,,,,kibera,Greatstar Academy,,,,private,Kianda,outside_public,clin2012@yahoo.com,,,,,8,17,,,,,,,,,,,,,,,,Magdaline Sizzah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7813356 -1.3140495))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/01/03,JamesLC,big_vehicles,school,,0,ironsheets,ironsheets,"P O Box 8361-00100, Nairobi",0721403663,8_4_4,,,yes,,yes,2700,mixed,,yes,yes,fees,,yes,104,5,5,0,2,0,pre_primary,never,node/3082332225,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Hope%20and%20faith%20junior%20School/Class.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Hope%20and%20faith%20junior%20School/Compound.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Hope%20and%20faith%20junior%20School/other.JPG,,,,,kibera,Hope and Faith Junior Academy,,,,private,Olympic,arranged,hopefaithjuniorschool@yahoo.com,,,,,57,47,,,,,,,,,,,,,,,,Jane A Owiso,,,Jane A Owiso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pee Poo,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7813941 -1.3140413),(36.78057 -1.311287))",1,LANGATA,NAIROBI,KIBERA,0,0,0,PRIMARY SCHOOL,0,0,SERA NGOMBE,0,0,2,0,0,0,NAIROBI,11,5.5,11,MIXED,DAY ONLY,ORDINARY,COMMUNITY,PRIVATE,1,5,11,6,1,0,JAMII ACADEMY PRI,2015/01/03,JamesLC,big_vehicles,school,,0,ironsheets,ironsheets,"P O Box 8361-00100, Nairobi",0710906803,8_4_4,,,,,,2700,mixed,mgcsd,yes,yes,fees,,yes,150,4,4,0,2,0,pre_primary,always,node/3082332226,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Jamy%20Quality%20Educational%20Centre/Class.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Jamy%20Quality%20Educational%20Centre/Compound.JPG,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Jamy%20Quality%20Educational%20Centre/outside.JPG,,,,kibera,Jamy Quality Educational Centre,JAMII ACADEMY PRI,,,private,Olympic,yes,"jamyeducentre@yahoo,com",,,,,95,55,,,,,,,,yes,,,,,,,,Hellen Opudo,,,Hellen Opudo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7772986 -1.312691),(36.776538 -1.310104))",1,LANGATA,NAIROBI,KIBERA,0,0,1,PRIMARY SCHOOL,0,0,SERA NGOMBE,1,0,0,0,6,4,NAIROBI,6,3,15,MIXED,DAY ONLY,ORDINARY,PRIVATE INDIVIDUAL,PRIVATE,1,0,30,0,5,0,KENYA ADONAIMASTERS & SERVANTS OF CHILDREN- PRI,2017/10/12,muindre,big_vehicles,school,,0,ironsheets,ironsheets,"P O Box 45-00100, Nairobi",0722942012,8_4_4,,,yes,,yes,4500,mixed,mgcsd,,yes,fees,,,18,2,2,0,2,0,primary,sometimes,node/3082332227,,,,,,,,kibera,Kenya Adonai Masters And Servants Of Children,KENYA ADONAIMASTERS & SERVANTS OF CHILDREN- PRI,,Adonai Our Reedemer Church,religious,Olympic,outside_public,adonai@gmail.com,,,,,14,4,,,,,,,,,,,,,,,,Marion Mwangi,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7772927 -1.312692))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017/10/12,muindre,big_vehicles,school,,o,ironsheets,ironsheets,"P O Box 45-00100, Nairobi",0722942012,8_4_4,,,yes,,yes,3150,mixed,mgcsd,,yes,fees,,,27,3,3,0,2,0,pre_primary,sometimes,node/3082332228,,,,,,,,kibera,Kenya Adonai Masters And Servants Of Children,,,Adonai Our Reedemer Church,religious,Olympic,outside_public,adonai@gmail.com,,,,,18,9,,,,,,,,,,,,,,,,Marion Mwangi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
